Date,LogPNL,NAV,Drawdown,ExpCut
2011-02-02,-0.0013941745256227378,145298.87688889663,-0.02058348210579397,1.0
2011-02-03,0.004745875446499959,145990.08616032157,-0.015924245969558326,1.0
2011-02-04,0.003346728074316907,146479.4937805531,-0.01262529474913987,1.0
2011-02-07,-0.00019003131854677946,146451.66073386895,-0.012812909039418452,1.0
2011-02-08,-0.0014205882319862084,146243.76093304387,-0.01421429976834121,1.0
2011-02-09,-0.0013632182551388539,146044.534593784,-0.015557225272300412,1.0
2011-02-10,-0.0034033169387610585,145548.34358195553,-0.018901901318124525,1.0
2011-02-11,0.0044534293877820375,146197.97833016064,-0.014522906678842817,1.0
2011-02-14,0.004242967517688712,146819.60945110425,-0.010332676162781662,1.0
2011-02-15,-0.002473383361666137,146456.91699556544,-0.01277747814251029,1.0
2011-02-16,-0.004125141872324711,145854.00583677637,-0.016841522960917787,1.0
2011-02-17,0.003428881153442198,146354.98028863326,-0.013464603168435008,1.0
2011-02-18,0.002405553701057883,146707.46884823596,-0.011088582616620268,1.0
2011-02-22,-0.033777934081634875,141834.7520737659,-0.043934117269894934,0.5
2011-02-23,-0.005997642173192208,140986.62391010893,-0.049651096991714105,0.5
2011-02-24,0.0028388795661768995,141387.43661614513,-0.04694933774016874,0.5
2011-02-25,0.00837241593578364,142576.16034447588,-0.03893650460842901,1.0
2011-02-28,0.01325541877520564,144478.6483382541,-0.026112398833498585,1.0
2011-03-01,-0.025692915576502884,140813.85187697495,-0.05081570188546691,0.5
2011-03-02,0.00032663626075457586,140859.85429963513,-0.05050561323522229,0.5
2011-03-03,0.007066772315071912,141858.80433730714,-0.04377198811439542,1.0
2011-03-04,-0.00296958930657798,141438.16681835678,-0.0466073805339875,1.0
2011-03-07,-0.008232481149613058,140278.5595479229,-0.05442394828214436,0.5
2011-03-08,0.004268242490147234,140878.582066117,-0.05037937493091915,1.0
2011-03-09,-0.00631093385192294,139992.30620923787,-0.05635349690780134,1.0
2011-03-10,-0.006784036060243359,139045.80752642313,-0.06273356304432565,0.5
2011-03-11,0.003822823831197031,139578.37245543997,-0.05914370124016943,1.0
2011-03-14,-0.000932707609003991,139448.24733917485,-0.06002083595030494,1.0
2011-03-15,-0.017686331396461696,137003.60155652952,-0.0764994661447701,0.5
2011-03-16,-0.0043592798540448285,136407.6643885098,-0.08051650136543409,0.5
2011-03-17,0.0015429527781520846,136618.29742986956,-0.07909668667491998,0.5
2011-03-18,0.0010808184538579901,136766.03683222056,-0.0781008193006868,0.5
2011-03-21,0.008825032915763753,137978.34306223638,-0.0699290235384149,0.5
2011-03-22,0.0022521289661172617,138289.438267113,-0.06783202328061644,1.0
2011-03-23,0.017815846407411406,140775.25941237778,-0.051075842212095934,1.0
2011-03-24,0.009438139041909821,142110.20567904584,-0.04207736643533089,1.0
2011-03-25,0.007590750021440051,143193.03326327927,-0.03477834771792787,1.0
2011-03-28,-0.010614668600792854,141681.12506715686,-0.0449696712334855,1.0
2011-03-29,0.00935401195595631,143012.6297517367,-0.03599439413806649,1.0
2011-03-30,0.0013455551398546817,143205.19065236516,-0.03469639837365113,1.0
2011-03-31,0.0002942868869135751,143247.34026384685,-0.03441228037775246,1.0
2011-04-01,0.006112341508171859,144125.59829984003,-0.02849220414699971,1.0
2011-04-04,0.005050146687556101,144855.29469876568,-0.023573537730175453,1.0
2011-04-05,0.0029265148299177923,145279.83677824071,-0.020711825829284658,1.0
2011-04-06,0.003008017946652508,145717.49905254063,-0.01776167459696476,1.0
2011-04-07,0.0006441727271182529,145811.39653114462,-0.017128739618371025,1.0
2011-04-08,0.00022147724786147904,145843.69401440202,-0.01691103188885501,1.0
2011-04-11,0.0072905139869714475,146910.8548542695,-0.00971761803600546,1.0
2011-04-12,-0.005925874960571953,146042.85387075765,-0.015568554526381728,1.0
2011-04-13,0.00728523705386408,147110.6956987126,-0.008370550335357274,1.0
2011-04-14,0.005536442361955274,147927.4243857167,-0.0028652251475960178,1.0
2011-04-15,0.012178931075220945,149740.0377331509,0.0,1.0
2011-04-18,-0.008019342864967527,148544.02306542275,-0.007987273716730026,1.0
2011-04-19,0.02248927551177804,151922.51808520814,0.0,1.0
2011-04-20,0.018183835821928618,154710.3218793467,0.0,1.0
